taxon,glottocode,xd_ids,soc_ids
baff1240,baff1240,xd1030,"Na13, B386"
cari1277,cari1277,"xd1038, xd1024","B374, B383, Na21"
copp1244,copp1244,xd1022,"B381, Na3, SCCS124"
east2533,east2533,xd1067,"B298, SCCS123, Na9"
kobu1239,kobu1239,xd1015,B370
kotz1238,kotz1238,xd1016,B371
kusk1241,kusk1241,"xd1064, xd1014, xd1000","Na6, B299, B296, B369"
labr1244,labr1244,xd1039,"Na23, B372"
nets1241,nets1241,"xd1060, xd1023","B382, Na43, B387"
nort2944,nort2944,xd1036,"B389, Na2"
nort2945,nort2945,xd1018,B375
paci1278,paci1278,xd1027,"B297, Na10"
pola1254,pola1254,xd1031,"Na14, B390"
queb1248,queb1248,"xd1017, xd1061","Na44, B373"
sigl1242,sigl1242,xd1019,B378
west2618,west2618,xd1025,"B384, Na22"
