taxon,glottocode,xd_ids,soc_ids
aari1239,aari1239,,"Ca23, Ca26, Ca25"
abab1239,abab1239,,Ca34
abip1241,abip1241,,Sh3
abkh1244,abkh1244,,Ci12
abro1238,abro1238,,Af38
abur1243,abur1243,,Af40
ache1246,ache1246,,B47
achu1247,achu1247,,"B187, Nc10"
acom1246,acom1246,,"Nh13, Nh14"
acro1239,acro1239,,Sj9
adam1253,adam1253,,Cb21
adan1247,adan1247,,Af35
adze1240,adze1240,,Ie26
afar1241,afar1241,,Ca6
afik1238,afik1238,,Af23
afri1274,afri1274,,Cf2
agta1234,agta1234,,B13
aguu1242,aguu1242,,Af36
aimo1244,aimo1244,,Ei11
aiwa1238,aiwa1238,,Na11
ajie1238,ajie1238,,Ih5
akha1245,akha1245,,Ej7
akim1239,akim1239,,Ni6
akla1241,akla1241,,Ia18
akur1238,akur1238,,B37
akye1239,akye1239,,Af12
alba1270,alba1270,,"Na33, B332"
algi1247,algi1247,,"Cd12, Cc16"
alla1248,alla1248,,Af44
alor1247,alor1247,,Ic2
alse1251,alse1251,,"B269, Nb28"
alur1250,alur1250,,Aj17
alya1239,alya1239,,B117
amah1246,amah1246,,Se8
amar1281,amar1281,,Ca35
amas1236,amas1236,,Ai43
amba1263,amba1263,,Ae1
ambo1250,ambo1250,,Ic11
ambu1247,ambu1247,,Ie15
amha1245,amha1245,,Ca7
amis1246,amis1246,,Ia9
anak1241,anak1241,,"B377, Na12"
anfi1235,anfi1235,,Ca27
anga1288,anga1288,,Ei13
anin1240,anin1240,,"Id13, B97"
anua1242,anua1242,,Ai44
anyi1245,anyi1245,,Af39
aona1235,aona1235,,Ei14
apin1244,apin1244,,Sj7
apuc1241,apuc1241,,"Eh1, B8"
arap1274,arap1274,,"B246, Ne9"
araw1276,araw1276,,Sc10
araw1280,araw1280,,Cb26
arbo1245,arbo1245,,Ca18
arik1262,arik1262,,Ne10
asan1239,asan1239,,Af3
asha1243,asha1243,,Sf7
ashe1269,ashe1269,,Af31
assi1247,assi1247,,"B257, Ne11"
asut1235,asut1235,,Ad36
atay1247,atay1247,,Ia1
atsa1241,atsa1241,,Ah10
atsu1245,atsu1245,,"Nc4, B183"
atti1239,atti1239,,Af41
avik1243,avik1243,,Af45
awet1244,awet1244,,Si9
awun1244,awun1244,,Ag37
baca1246,baca1246,,Cb27
baff1240,baff1240,,"Na13, B386"
bafi1243,bafi1243,,Ae48
bafu1246,bafu1246,,Ae9
baga1273,baga1273,,Ag14
bagi1246,bagi1246,,Ai21
bain1259,bain1259,,Ag16
