taxon,glottocode,xd_ids,soc_ids
afri1274,afri1274,xd537,Cf2
bakh1245,bakh1245,xd607,Ea8
bass1257,bass1257,xd605,Ea6
baya1255,baya1255,xd547,Ch10
bela1254,bela1254,xd570,Ch6
beng1280,beng1280,xd664,Ef2
bhil1251,bhil1251,xd667,Ef5
bhoj1244,bhoj1244,xd663,Ef11
braz1246,braz1246,xd539,Cf4
bulg1262,bulg1262,xd569,Ch5
cent1972,cent1972,xd576,Ci11
chak1266,chak1266,xd697,Ei10
chha1249,chha1249,xd685,Eg9
czec1258,czec1258,xd567,Ch3
dutc1256,dutc1256,xd541,Cg1
east2270,east2270,xd571,Ch7
east2304,east2304,xd597,Ea10
gali1257,gali1257,xd529,Ce2
gheg1238,gheg1238,xd528,Ce1
ghil1238,ghil1238,xd598,Ea11
guja1252,guja1252,xd671,Ef9
hait1244,hait1244,xd1334,Sb9
haza1239,haza1239,xd602,Ea3
icel1247,icel1247,xd542,Cg2
indu1241,indu1241,xd603,Ea4
iris1253,iris1253,xd543,Cg3
kamv1242,kamv1242,xd604,Ea5
kash1277,kash1277,xd670,Ef8
lati1261,lati1261,xd530,Ce3
latv1249,latv1249,xd559,ch21
lith1251,lith1251,xd573,Ch9
maha1287,maha1287,xd669,Ef7
mait1250,mait1250,xd662,Ef10
mode1248,mode1248,xd534,Ce7
mold1248,mold1248,xd563,ch25
ndyu1242,ndyu1242,xd1344,Sc18
neap1235,neap1235,xd532,Ce5
nucl1235,nucl1235,xd575,Ci10
oriy1255,oriy1255,xd683,Eg7
osse1243,osse1243,xd582,Ci6
panj1256,panj1256,xd600,Ea13
russ1263,russ1263,xd548,Ch11
sans1269,sans1269,xd665,Ef3
sara1340,sara1340,xd1349,Sc6
serb1264,serb1264,xd546,Ch1
shin1264,shin1264,xd657,Ee5
sind1272,sind1272,xd596,Ea1
sinh1246,sinh1246,xd692,Eh6
sout2604,sout2604,xd557,Ch2
stan1288,stan1288,xd533,Ce6
stan1290,stan1290,xd540,Cf5
stan1293,stan1293,"xd536, xd538","Cf3, Cf1"
tehr1242,tehr1242,xd608,Ea9
vedd1240,vedd1240,xd690,"Eh4, B10"
wall1255,wall1255,xd545,Cg5
yusu1238,yusu1238,xd601,Ea2
