taxon,glottocode,xd_ids,soc_ids
bamb1269,bamb1269,,Ag1
band1352,band1352,,Af54
biss1248,biss1248,,Ag53
dann1241,dann1241,,Af56
dyul1238,dyul1238,,Ag27
gagu1242,gagu1242,,Af51
guro1248,guro1248,,Af52
gwee1242,gwee1242,,Af50
jena1242,jena1242,,Ag28
kura1250,kura1250,,Ag24
libe1247,libe1247,,Af15
mend1266,mend1266,,Af5
nort2819,nort2819,,Ag30
soni1259,soni1259,,Ag25
sout2844,sout2844,,Ag29
susu1250,susu1250,,Ag26
tiey1235,tiey1235,,Ag7
toma1245,toma1245,,Af11
tour1242,tour1242,,Af53
vaii1241,vaii1241,,Af58
west2500,west2500,,Ag9
xaas1235,xaas1235,,Ag23
yalu1240,yalu1240,,Ag54
