taxon,glottocode,xd_ids,soc_ids
alur1250,alur1250,,Aj17
anua1242,anua1242,,Ai44
dato1239,dato1239,,Aj28
dhop1238,dhop1238,,Aj10
east2420,east2420,,Aj23
jiee1239,jiee1239,,Aj21
kakw1240,kakw1240,,Aj14
keiy1238,keiy1238,,Aj25
kips1239,kips1239,,Aj9
kuku1285,kuku1285,,Aj15
kups1238,kups1238,,Aj27
labw1238,labw1238,,Aj22
lang1324,lang1324,,Aj4
ligo1238,ligo1238,,Aj8
luok1236,luok1236,,Aj6
maba1273,maba1273,,Ai45
mand1425,mand1425,,Aj16
masa1300,masa1300,,Aj2
nand1266,nand1266,,Aj7
nucl1430,nucl1430,,Aj30
nuer1246,nuer1246,,Aj3
okie1245,okie1245,,"Aa2, B70"
otuh1238,otuh1238,,Aj12
pari1256,pari1256,,Aj31
poju1239,poju1239,,Aj13
samb1315,samb1315,,Aj29
shil1265,shil1265,,Ai6
sout2832,sout2832,,Aj11
teso1249,teso1249,,Aj1
topo1242,topo1242,,Aj24
turk1308,turk1308,,Aj5
west2492,west2492,,Aj26
