taxon,glottocode,xd_ids,soc_ids
bell1243,bell1243,,"B291, Nb9"
chil1281,chil1281,,"B279, Nb27"
clal1241,clal1241,,"B285, Nb16"
coeu1236,coeu1236,,"Nd14, B320"
cowi1241,cowi1241,,"B280, Nb26"
isla1276,isla1276,,"B282, Nb14"
kali1309,kali1309,,"Nd13, Nd12, B330, B326"
lill1248,lill1248,,"Nd9, B276"
lowe1427,lowe1427,,B272
lumm1243,lumm1243,,"B277, Nb15"
quin1251,quin1251,,"B278, Nb25"
sanp1257,sanp1257,,"Nd4, B323"
shus1248,shus1248,,"Nd11, B333"
slia1241,slia1241,,Nb12
sout2963,sout2963,,"Nd15, B322, B321"
sout2965,sout2965,,"B270, Nb17"
squa1248,squa1248,,"B268, Nb13"
thom1243,thom1243,,"Nd10, B325"
till1254,till1254,,"B281, Nb20"
twan1247,twan1247,,"B271, Nb2"
wena1241,wena1241,,"Nd16, B317"
