taxon,glottocode,xd_ids,soc_ids
aimo1244,aimo1244,,Ei11
akha1245,akha1245,,Ej7
anga1288,anga1288,,Ei13
aona1235,aona1235,,Ei14
bori1243,bori1243,,Ee1
cent2004,cent2004,,Ed8
east2352,east2352,,Ee8
garo1247,garo1247,,Ei1
kach1279,kach1279,,Ee7
kach1280,kach1280,,Ei5
karb1241,karb1241,,Ei17
lepc1244,lepc1244,,Ee3
loth1237,loth1237,,Ei2
lush1249,lush1249,,Ei20
mand1415,mand1415,,Ed10
mara1382,mara1382,,Ei4
minn1241,minn1241,,Ed6
nucl1310,nucl1310,,Ei3
puru1266,puru1266,,Ei6
pwow1235,pwow1235,,Ei7
rakh1245,rakh1245,,Ei9
sent1260,sent1260,,Ei19
sher1255,sher1255,,Ee6
sich1238,sich1238,,Ed2
sout2732,sout2732,,Ei15
sumi1235,sumi1235,,Ei16
thad1238,thad1238,,Ei12
tibe1272,tibe1272,,Ee4
wuch1236,wuch1236,,Ed15b
yuec1235,yuec1235,,Ed16
