taxon,glottocode,xd_ids,soc_ids
east2328,east2328,xd568,Ch4
erzy1239,erzy1239,xd552,ch15
esto1258,esto1258,xd553,ch16
hung1274,hung1274,xd572,Ch8
ingr1248,ingr1248,xd555,ch18
khan1273,khan1273,xd618,Ec10
livv1243,livv1243,xd556,ch19
livv1244,livv1244,xd562,ch24
lule1254,lule1254,xd544,"Cg4, SCCS52"
mans1258,mans1258,xd623,ec15
nene1249,nene1249,xd632,"Ec4, SCCS53"
ngan1291,ngan1291,xd620,"B27, ec12"
nort2676,nort2676,xd550,ch13
selk1253,selk1253,xd619,Ec11
sout2681,sout2681,xd564,ch26
veps1250,veps1250,xd565,ch27
voti1245,voti1245,xd566,ch28
