taxon,glottocode,xd_ids,soc_ids
akim1239,akim1239,xd1291,"Ni6, WNAI145"
bann1248,bann1248,xd1200,"B252, Nd63"
cahu1264,cahu1264,"xd1131, xd1439, xd1440","B144, Nc31, WNAI85, WNAI86, WNAI87"
cent2131,cent2131,xd1286,Ni1
cent2132,cent2132,xd1308,Nj9
chem1251,chem1251,xd1190,"Nd54, WNAI135"
clas1250,clas1250,xd1301,"Nj2, SCCS153"
coma1245,coma1245,xd1222,"B241, Ne3, SCCS147"
cupe1243,cupe1243,xd1132,"B145, Nc32, WNAI83"
gosi1242,gosi1242,xd1183,"B214, Nd48, WNAI124"
hopi1249,hopi1249,xd1268,"Nh18, WNAI159"
huic1243,huic1243,xd1288,"Ni3, SCCS152"
kawa1283,kawa1283,xd1126,"B199, Nc27, WNAI79"
luis1253,luis1253,xd1133,"B150, Nc33, WNAI82"
mono1275,mono1275,"xd1122, xd1162, xd1164, xd993","B157, B202, B206, B211, B219, Nc23, Nd29, Nd30, WNAI117, WNAI71, WNAI72"
nort1551,nort1551,"xd1154, xd1155, xd1156, xd1157, xd1158, xd994","B223, B226, B231, Nd21, Nd22, Nd23, Nd24, Nd25, SCCS137, WNAI114, WNAI115"
nort2955,nort2955,"xd1180, xd1181, xd1182, xd1185, xd1201","B207, B213, B227, B229, B232, Nd45, Nd46, Nd47, Nd5, Nd64, WNAI125, WNAI126, WNAI127, WNAI128"
nort2959,nort2959,xd1294,Ni9
opat1246,opat1246,xd1293,Ni8
pana1305,pana1305,"xd1165, xd1166, xd1167","B192, B195, B197, B200, Nd31, Nd32, Nd33, WNAI118"
serr1255,serr1255,xd1130,"B149, Nc30, WNAI84"
sout2967,sout2967,"xd1160, xd1161, xd989, xd992","B205, B208, B210, B212, Nd26, Nd27, Nd28, WNAI116"
sout2969,sout2969,"xd1187, xd1188, xd1189, xd1192","B204, Nd51, Nd52, Nd53, Nd55, Nd56, WNAI132, WNAI133, WNAI134"
toho1246,toho1246,xd1287,"Ni2, SCCS151, WNAI146"
tong1329,tong1329,xd1128,"B156, Nc29, WNAI81"
tuba1278,tuba1278,xd1118,"B152, Nc2, WNAI78"
utee1244,utee1244,"xd1152, xd1184, xd1186, xd1193, xd1194, xd1195, xd1197, xd1198, xd1199, xd991","B201, B209, B222, B230, B234, Nd2, Nd49, Nd50, Nd57, Nd58, Nd59, Nd60, Nd61, Nd62, WNAI129, WNAI130, WNAI131"
west2622,west2622,"xd1168, xd1169, xd1170, xd1171, xd1172, xd1175, xd1176, xd1177, xd1178, xd1179, xd988, xd995","B203, B215, B216, B217, B218, B221, B224, B228, B233, Nd34, Nd35, Nd36, Nd37, Nd38, Nd39, Nd40, Nd41, Nd42, Nd43, Nd44, WNAI120, WNAI121, WNAI122, WNAI123"
yaqu1251,yaqu1251,xd1292,Ni7
