Taxon,ISOCode,GlottoCode
PunanKelai,pne,west2563
MinyaifuinGebe,mei,mido1240
MerinaMalagasy,plt,meri1243
PhanRangChamEasternCham,cjm,east2563
Moken,mwt,moke1242
Melayu,zlm,mala1479
CiuliAtayal,tay,atay1247
SquliqAtayal,tay,atay1247
Bunun,bnn,bunu1267
Puyuma,pyu,puyu1239
Cebuano,ceb,cebu1242
Bajo,ssb,sout2918
Yami,tao,yami1254
WBukidnonManobo,mbb,west2555
KalingaGuinaangLubuagan_D,knb,lubu1243
KoronadalBlaan,bpr,koro1310
AklanonBisayan,akl,akla1241
KankanayNorthern,xnn,nort2877
IfugaoBatad,ifb,bata1298
SubanunSindangan,syb,cent2089
Hanunoo,hnn,hanu1241
Paiwan,pwn,paiw1248
TagbanwaAborlan_D,tbw,tagb1258
CentralAmis,ami,amis1246
Iban,iba,iban1264
OldJavanese,jav,java1254
TobaBatak,bbc,bata1289
Minangkabau,min,mina1268
Makassar,mak,maka1311
HituAmbon,abs,ambo1250
MelayuAmbon,abs,ambo1250
GauraNggaura,kod,kodi1247
Kodi,kod,kodi1247
RotiTermanu_D,twu,term1237
TaeSToraja,sda,tora1261
Selaru,slu,sela1259
Lamaholot,slp,lama1277
ElatKeiBesar,kei,keii1239
KeiTanimbarKei,kei,keii1239
ESKamberaSouthern_D,xbr,kamb1299
ESLewa_D,xbr,kamb1299
ESUmbuRatuNggai_D,xbr,kamb1299
Kambera,xbr,kamb1299
Motu,meu,motu1246
Mekeo,mek,meke1243
Manam,mva,mana1295
Wogeo,woc,woge1237
Waropen,wrp,waro1242
Palauan,pau,pala1344
Mortlockese,mrl,mort1237
Kusaie,kos,kosr1238
Marshallese,mah,rali1241
MarshalleseE_D,mah,rata1243
Kiribati,gil,"bana1287, nuii1237"
Carolinian,cal,caro1242
SaipanCarolinian,cal,caro1242
Woleai,woe,nucl1479
Woleaian,woe,lamo1243
Chuukese,chk,chuu1238
ChuukeseAKATrukese,chk,chuu1238
Ponapean,pon,pohn1238
Chamorro,cha,cham1312
VaghuaChoiseul,tva,vagh1249
Wuvulu,wuv,wuvu1239
Suau,swp,suau1242
Bwaidoga,bwd,bwai1242
Vitu,wiv,mudu1242
Kwaio,kwd,kwai1243
Molima,mox,moli1248
Kilivila,kij,kili1267
Dobuan,dob,dobu1241
Saa,apb,saaa1240
Lakalai,nak,naka1262
Maututu,nak,naka1262
NakanaiBileki_D,nak,naka1262
Simbo,sbb,simb1256
Mota,mtt,mota1237
TannaSouthwest,nwi,sout2869
SyeErromangan,erg,siee1239
FijianBau,fij,"bauu1243, nort2843"
Nahavaq,sns,sout2857
Lau,llx,laua1243
Rotuman,rtm,rotu1241
Dehu,dhv,dehu1237
Samoan,smo,samo1305
Rennellese,mnv,renn1242
Tongan,ton,tong1325
Tikopia,tkp,tiko1237
Tuvalu,tvl,tuva1244
Luangiua,ojv,onto1237
Tokelau,tkl,toke1240
Kapingamarangi,kpg,kapi1249
Futuna,fud,east2447
FutunaEast,fud,east2447
Niue,niu,niue1239
Rarotongan,rar,raro1241
Penrhyn,pnh,penr1237
Maori,mri,maor1246
Marquesan,mrq,nort2845
Tuamotu,pmt,tuam1242
Hawaiian,haw,hawa1245
Mangareva,mrv,mang1401
TahitianModern,tah,tahi1242
RapanuiEasterIsland,rap,rapa1244
PalawanBatak,bya,bata1301
SambalBotolan,sbl,boto1242
DumagatCasiguran,dgc,casi1235
Agta,agt,cent2084
Aiwoo,nfl,ayiw1239
Alune,alp,alun1238
AmbaiYapen,amk,amba1265
AmbrymSouthEast,tvk,sout2859
Anakalang,akg,anak1240
AnejomAneityum,aty,anei1239
Anuta,aud,anut1237
Aputai,apx,aput1237
