taxon,glottocode,xd_ids,soc_ids
Agta,cent2084,xd908,B14
Aiwoo,ayiw1239,NA,NA
AklanonBisayan,akla1241,xd741,Ia18
Alune,alun1238,NA,NA
AmbaiYapen,amba1265,NA,NA
AmbrymSouthEast,sout2859,NA,NA
Anakalang,anak1240,NA,NA
AnejomAneityum,anei1239,NA,NA
Anuta,anut1237,NA,NA
Aputai,aput1237,NA,NA
ArakiSouthwestSanto,arak1252,NA,NA
Aria,mouk1239,NA,NA
As,asss1237,NA,NA
Asumboa,asum1237,NA,NA
Atoni,uabm1237,NA,NA
AttaPamplona,pamp1244,NA,NA
Avava,katb1237,NA,NA
Babatana,baba1268,NA,NA
Babuyan,ivat1242,NA,NA
Bajo,indo1317,xd736,"Ia13, SCCS86"
Balangaw,bala1310,NA,NA
Bali,bali1278,NA,NA
Baliledo,NA,NA,NA
BanggaiW_D,bang1368,NA,NA
BanjareseMalay,banj1239,NA,NA
Banoni,bann1247,NA,NA
Bantik,bant1286,NA,NA
Baree,pamo1252,NA,NA
Basai,basa1287,NA,NA
Belait,bela1260,NA,NA
BerawanLongTerawan,west2564,NA,NA
BigaMisool,matb1237,NA,NA
BikolNagaCity,cent2087,NA,NA
Bilibil,bilb1241,NA,NA
Bima,bima1247,NA,NA
Bintulu,bint1246,NA,NA
Binukid,binu1244,NA,NA
Bobot,bobo1254,NA,NA
BolaangMongondow,mong1342,NA,NA
Bonerate,bone1254,NA,NA
Bonfia,masi1266,NA,NA
BontokGuinaang,cent2292,NA,NA
BugineseSoppeng_D,bugi1244,NA,NA
Bugotu,bugh1239,NA,NA
Bukat,buka1261,NA,NA
Buli,buli1255,NA,NA
Buma,tean1237,NA,NA
Bunun,bunu1267,xd733,Ia10
BuruNamroleBay,buru1303,NA,NA
Buyang,emab1235,NA,NA
Bwaidoga,bwai1242,xd848,Ig16
Canala,xara1244,NA,NA
Carolinian,caro1242,NA,NA
Cebuano,cebu1242,xd735,Ia12
CentralAmis,amis1246,xd749,Ia9
CentralMasela,cent2072,NA,NA
Chamorro,cham1312,xd839,If8
ChekeHolo,chek1238,NA,NA
Chru,chru1239,NA,NA
Chuukese,chuu1238,NA,NA
ChuukeseAKATrukese,chuu1238,xd833,"If2, SCCS109"
CiuliAtayal,atay1247,xd732,"Ia1, SCCS113"
Dai,daii1240,NA,NA
DaweraDaweloor,dawe1237,NA,NA
DayakBakatiqSaraRiok,beka1241,NA,NA
DayakNgaju,ngaj1237,NA,NA
Dehu,dehu1237,xd873,Ih7
Diodio,diod1237,NA,NA
Dobuan,dobu1241,xd857,Ig5
DumagatCasiguran,casi1235,xd906,B12
