Taxon,ISOCode,GlottoCode
Fefe_Grassfields,fmp,fefe1239
Mungaka_Grassfields,mhk,mung1266
Bamun_Grassfields,bax,bamu1253
Kom_Grassfields,bkm,komc1235
Oku_Grassfields,oku,okuu1243
Aghem_Grassfields,agq,aghe1239
Njen_Grassfields,njj,njen1238
Moghamo_Grassfields,mgo,meta1238
Zaambo_Jarawan,,
Bwazza_Jarawan,mbu,mbul1260
Mbula_Jarawan,mbu,mbul1260
Bile_Jarawan,bil,bile1244
Kulung_Jarawan,bbu,kulu1255
Duguri_Jarawan,dbm,dugu1249
Tiv_Tivoid,tiv,tivv1240
A11_Londo,bdu,orok1266
A121_Mbonge,bdu,orok1266
A122_Bakundu,bdu,orok1266
A141_Lefo,bwt,bafa1247
A15_Manenguba,mbo,mboc1235
A151_Nkongho,nkc,nkon1247
A15A_Mbuu,,
A15B_Mienge_NW_Manenguba,bsi,bass1260
A15C_Akossi,bss,akoo1248
A15C_Elung_Central_Manenguba,bss,akoo1248
A15C_Mkaa,bqz,baka1273
A22_Bakweri,bri,mokp1239
A24_Duala,dua,dual1243
A27_Malimba,mzd,mali1280
A31_Bubi,bbx,bubi1249
A32C_Batanga,bnm,bata1285
A33a_Yasa,yko,yasa1242
A34_Benga,bng,beng1282
A41_Barombi-Kang,bbi,baro1252
A42_Abo,abb,bank1256
A43a_Basaa,bas,basa1284
A44_Tunen,baz,
A45_Nyokon,nvo,nyok1243
A46_Nomaande,lem,noma1260
A462_Yambeta,yat,yamb1252
A51_Bafia_maja,lfa,lefa1242
A53_Bafia_rikpa,ksf,bafi1243
A54_Tibea,ngy,tibe1274
A601_Tuki,bag,tuki1240
A61_Ngoro-Asom,,
A61_Ngoro-Bisoo,,
A61_Ngoro-lunda,,
A621_Nubaca,baf,nuba1241
A622_Nugunu,yas,nugu1242
A62A_Nuasue,yav,yang1293
A62A_Nukalonge,yav,yang1293
A62B_Mmala,mmu,mmaa1238
A62C_Libie,ekm,elip1238
A63_Mangisa,mct,meng1263
A71_Eton,eto,eton1253
A72a_Ewondo,ewo,ewon1239
A74a_Bulu,bum,bulu1251
A75a_Fang_Bitam,fan,fang1246
A75a_Fang_Medouneu,fan,fang1246
A75a_Fang_Minvoul,fan,fang1246
A803_Shiwa,mcp,maka1304
A81_Kwasio,nmg,kwas1243
A83_Mekaa,mcp,maka1304
A832_Bekol,biw,kolc1235
A84_Njem,ozm,koon1245
A841_Badwe,ozm,koon1245
A85b_Bekwil_Makokou,bkw,bekw1242
A85b_Bekwil_Mv,bkw,bekw1242
A86c_Mpiemo,mcx,mpie1238
A87_Bomwali,bmw,bomw1238
A91_Kwakum,kwu,kwak1266
A93_Kako,kkj,kako1242
B11a_Mpongwe,mye,myen1241
B11b_Orungu,mye,myen1241
B11c_Galwa,mye,myen1241
B11d_Dyumba,mye,myen1241
B11F_Enenga,mye,myen1241
B201_Ndasa,nda,ndas1238
B202_Sigu,sxe,sigh1238
B203_Samaye,,
B204_Ndambomo_Li,,
B204_Ndambomo_Massoukou,,
B204_Ndambomo_Mbadi,,
B21_Seki,syi,seki1238
B22a_Kele,keb,kele1257
B22b_Koya,nra,ngom1270
B22b_Ngom,nra,ngom1270
B22E_Mwesa,,
B23_Mbangwe,zmn,mban1268
B24_Wumbvu,wum,wumb1242
B25_Kota,koq,kota1274
B251_Shake,sak,sake1247
B252_Mahongwe,mhb,maho1248
B301_Viya,buw,bubi1250
B302_Himba,sbw,simb1254
B304_Pinzi,pic,pinj1243
B305_Vove,buw,bubi1250
B31_Tsogo,tsv,tsog1243
B32_Kande,kbs,kand1300
B404_Ngubi,,
B41_Shira,swj,sira1266
B42_Sangu_Mb,snq,sang1333
B42_Sangu_Mi,snq,sang1333
B43_Punu,puu,punu1239
B44_Lumbu,lup,lumb1249
B501_Wanzi_E,wdd,wand1266
B501_Wanzi_Mo,wdd,wand1266
B503_Vili,,
B51_Duma,dma,duma1253
B51_Duma_La,dma,duma1253
B52_Nzebi,nzb,njeb1242
B53_Tsaangi_Poungi,tsa,tsaa1242
B601_Lempini,mdt,mber1257
B602_Kaningi_Nord,kzo,kani1279
B602_Kaningi_Sud,kzo,kani1279
B62_Mbaama,mbm,omba1241
B63_Ndumu,nmd,ndum1239
B701_Atsitsege,tck,tchi1245
B71a_Teke_Dj,teg,teke1275
B71a_Teke_Os,teg,teke1275
B71aIb_Teke_Ibali_Congo,tek,ibal1241
B71aLe_Teke_Leconi,tek,ibal1241
B77b_Fumu,ifm,teke1274
B78_Wuumu,,
B81_Tiene,tii,tien1242
B82_Buma,boh,boma1246
B84_Mbunda,zmp,mpuo1241
B85_Yanzi,yns,yans1239
B85d_Nsongo,soo,song1299
B85e_Mput,,
B86_Dinga,diz,ding1239
B86_Dzing,soo,song1299
B861_Ngul,nlo,ngul1247
B862_Lwel,,
B863_Pindi,,
B864_Ngong,,
B865_Nzadi,,
C101_Babole_Dz,bvx,dibo1245
C101_Babole_Ep,bvx,dibo1245
C101_Babole_Ma,bvx,dibo1245
C104_Aka,axk,yaka1272
C105_Mbenga,,
C141_Bonyala,,
C142_Mondongo,,
C15_Bongili,bui,bong1284
C21_Ngare,mdu,mbok1243
C22_Akwa,akw,akwa1248
C24_Koyo,koh,koyo1242
C25_Mboshi,mdw,mbos1242
C25A_Bunji,,
C25B_Olee,,
C25C_Ondinga,,
C25E_Eboyi,,
C302_Bolondo,bzm,bolo1263
C32_Bobangi,bni,bang1354
C322_Zamba,,
C323_Mpama,,
C34_Sakata,skt,saka1287
C36d_Lingala,lin,ling1263
C36g_Monyongo,ndl,ndol1238
C36g_Mosange,ndl,ndol1238
C37_Ebudza,bja,budz1238
C401_Babati_1919,pae,pagi1243
