taxon,glottocode,xd_ids,soc_ids
A11_Londo,orok1266,,
A121_Mbonge,orok1266,,
A122_Bakundu,orok1266,xd166,Ae45
A141_Lefo,bafa1247,,
A15_Manenguba,mboc1235,,
A151_Nkongho,nkon1247,,
A15A_Mbuu,bafa1247,,
A15B_Mienge_NW_Manenguba,bass1260,,
A15C_Akossi,akoo1248,,
A15C_Elung_Central_Manenguba,akoo1248,,
A15C_Mkaa,baka1273,,
A22_Bakweri,mokp1239,xd138,Ae2
A24_Duala,dual1243,xd130,Ae12
A27_Malimba,mali1280,,
A31_Bubi,bubi1250,,
A32C_Batanga,bata1285,xd168,Ae47
A33a_Yasa,yasa1242,,
A34_Benga,beng1282,,
A41_Barombi-Kang,baro1252,,
A42_Abo,bank1256,,
A43a_Basaa,basa1284,,
A44_Tunen,tune1261,,
A45_Nyokon,nyok1243,,
A46_Nomaande,noma1260,,
A462_Yambeta,yamb1252,,
A51_Bafia_maja,lefa1242,,
A53_Bafia_rikpa,bafi1243,xd169,Ae48
A54_Tibea,tibe1274,,
A601_Tuki,tuki1240,,
A61_Ngoro-Asom,tuki1240,,
A61_Ngoro-Bisoo,tuki1240,,
A61_Ngoro-lunda,tuki1240,,
A621_Nubaca,nuba1241,,
A622_Nugunu,nugu1242,,
A62A_Nuasue,yang1293,,
A62A_Nukalonge,yang1293,,
A62B_Mmala,mmaa1238,,
A62C_Libie,elip1238,,
A63_Mangisa,leti1245,,
A71_Eton,eton1253,,
A72a_Ewondo,ewon1239,,
A74a_Bulu,bulu1251,,
A75a_Fang_Bitam,fang1246,xd149,Ae3
A75a_Fang_Medouneu,fang1246,,
A75a_Fang_Minvoul,fang1246,,
A803_Shiwa,maka1304,,
A81_Kwasio,kwas1243,xd163,Ae42
A83_Mekaa,maka1304,,
A832_Bekol,kolc1235,,
A84_Njem,koon1245,,
A841_Badwe,koon1245,,
A85b_Bekwil_Makokou,bekw1242,,
A85b_Bekwil_Mv,bekw1242,,
A86c_Mpiemo,mpie1238,,
A87_Bomwali,bomw1238,xd164,Ae43
A91_Kwakum,kwak1266,,
A93_Kako,kako1242,,
Aghem_Grassfields,aghe1239,,
B11a_Mpongwe,myen1241,xd167,Ae46
B11b_Orungu,myen1241,,
B11c_Galwa,myen1241,,
B11d_Dyumba,myen1241,,
B11F_Enenga,myen1241,,
B201_Ndasa,ndas1238,,
B202_Sigu,sigh1238,,
B203_Samaye,osam1235,,
B204_Ndambomo_Li,ndam1254,,
B204_Ndambomo_Massoukou,ndam1254,,
B204_Ndambomo_Mbadi,ndam1254,,
B21_Seki,seki1238,,
B22a_Kele,kele1257,,
B22b_Koya,ngom1270,,
B22b_Ngom,ngom1270,,
B22E_Mwesa,mwes1234,,
B23_Mbangwe,mban1268,,
B24_Wumbvu,wumb1242,,
B25_Kota,kota1274,xd162,Ae41
B251_Shake,sake1247,,
B252_Mahongwe,maho1248,,
B301_Viya,bubi1250,,
B302_Himba,simb1254,,
B304_Pinzi,pinj1243,,
B305_Vove,bubi1250,,
B31_Tsogo,tsog1243,xd40,Ac16
B32_Kande,kand1300,,
B404_Ngubi,ngub1239,,
B41_Shira,sira1266,,
B42_Sangu_Mb,sang1333,,
B42_Sangu_Mi,sang1333,,
B43_Punu,punu1239,,
B44_Lumbu,lumb1249,,
B501_Wanzi_E,wand1266,,
B501_Wanzi_Mo,wand1266,,
B503_Vili,vili1239,,
B51_Duma,duma1253,,
B51_Duma_La,duma1253,,
B52_Nzebi,njeb1242,,
B53_Tsaangi_Poungi,tsaa1242,,
B601_Lempini,mber1257,,
B602_Kaningi_Nord,kani1279,,
B602_Kaningi_Sud,kani1279,,
B62_Mbaama,omba1241,,
B63_Ndumu,ndum1239,,
B701_Atsitsege,tchi1245,,
B71a_Teke_Dj,teke1275,,
B71a_Teke_Os,teke1275,,
B71aIb_Teke_Ibali_Congo,ibal1241,,
B71aLe_Teke_Leconi,ibal1241,,
B77b_Fumu,teke1274,,
B78_Wuumu,teke1274,,
B81_Tiene,tien1242,,
B82_Buma,boma1246,,
B84_Mbunda,mpuo1241,xd46,Ac21
B85_Yanzi,yans1239,xd51,Ac26
B85d_Nsongo,song1299,xd50,Ac25
B85e_Mput,,,
B86_Dinga,ding1239,xd47,Ac22
B86_Dzing,song1299,,
B861_Ngul,ngul1247,,
B862_Lwel,lwel1234,,
B863_Pindi,song1299,,
B864_Ngong,ngon1267,,
B865_Nzadi,nzad1234,,
Bamun_Grassfields,bamu1253,xd172,Ae50
Bile_Jarawan,bile1244,,
Bwazza_Jarawan,mbul1260,,
C101_Babole_Dz,dibo1245,,
C101_Babole_Ep,dibo1245,,
C101_Babole_Ma,dibo1245,,
C104_Aka,yaka1272,"xd923, xd924","B60, B61"
C105_Mbenga,yaka1272,,
C141_Bonyala,bong1284,,
C142_Mondongo,bamw1238,,
C15_Bongili,bong1284,,
C21_Ngare,mbok1243,,
C22_Akwa,akwa1248,,
C24_Koyo,koyo1242,,
C25_Mboshi,mbos1242,,
C25A_Bunji,mbos1242,,
C25B_Olee,mbos1242,,
C25C_Ondinga,mbos1242,,
C25E_Eboyi,mbos1242,,
C302_Bolondo,bolo1263,,
C32_Bobangi,bang1354,,
C322_Zamba,zamb1245,,
C323_Mpama,mpam1239,,
C34_Sakata,saka1287,xd49,Ac24
C36d_Lingala,ling1263,xd147,Ae28
C36g_Monyongo,ndol1238,,
C36g_Mosange,ndol1238,,
C37_Ebudza,budz1238,xd157,Ae37
C401_Babati_1919,pagi1243,,
C401_Pakabete,pagi1243,,
C41_Ngombe,binj1250,xd159,Ae39
C412_Libobi,bamw1238,,
C42_Ebwela,bwel1238,,
C43A_Baati,bwaa1238,,
C44_Bwa,bwaa1238,,
C52_Soko,sode1235,,
C52_Soko_1919,sode1235,,
C54_Turumba_1919,lomb1260,,
C55_Lokele,sode1235,,
C61_Mongo,mong1338,"xd143, xd160","Ae24, Ae4, SCCS14"
C61E_Konda,ekon1238,xd139,Ae20
C71_Tetela,tete1250,xd144,Ae25
C76_Ombo,ombo1238,,
C81_Dengese,deng1250,,
C83_Bushong,bush1247,xd66,Ac4
C85_Wongo,wong1247,,
D11_Mbole,mbol1247,,
D12_Lengola,leng1258,,
D13_Metoko,mitu1240,,
D14_Enya,enya1247,,
D201_Liko,lika1243,,
D20B_Vamba_1919,amba1263,,
D21_Baali,bali1274,xd153,Ae33
D211_Kango,kang1285,xd5,"Aa5, B65, SCCS13"
D23_Kibira-Kumu_1919,komo1260,xd152,Ae32
D24_Songola,song1300,xd129,Ae11
D25_Lega,lega1250,,
D28_Holoholo,holo1240,,
D301_Kare,kari1306,,
D304_Homa_1919,homa1239,,
D305_Nyanga-li,nyan1303,,
D308_Bodo2,bodo1272,,
D308_Ebodo,bodo1272,,
D311_Bila,bila1255,xd150,Ae30
D313_Mbuttu_1919,budu1250,,
D32_Bira,bera1259,xd154,Ae34
D32_Bira_Bunia,bera1259,,
D33_Nyali,nyal1250,,
D331_Bvanuma,vanu1242,,
D333_Ndaaka,ndak1241,,
D334_Mbo,mbod1238,,
D43_Nyanga,nyan1304,,
D55_Buyu,buyu1239,xd57,Ac31
Duguri_Jarawan,dugu1249,,
E46_Sonjo,temi1247,xd108,Ad39
E51_Kikuyu,kiku1240,xd109,"Ad4, SCCS11"
E52_Embu,embu1241,,
E52_Mbeere,embu1241,,
E53_Igoji,meru1245,,
E53_Imenti,meru1245,,
E53_Meru,meru1245,xd104,Ad35
E53_Meruimenti,meru1245,,
E53_Merutig,meru1245,,
E53_Miutini,meru1245,,
E53_Tigania,meru1245,,
E531_Muthambi,mwim1241,,
E531_Mwimbi,mwim1241,,
E54_Tharaka,thar1283,,
E541_Chuka,chuk1274,,
