taxon,language,glottocode,xd_ids,soc_ids
ALT,Oyrat,sout2694,,
AZB,Azerbaidzhan,sout2697,,
BAS,Bashkir,bash1264,xd549,ch12
BLKX,Balkar,balk1254,,
CHV,Chuvash,chuv1255,xd551,ch14
DOLG,Dolgan,dolg1241,,
GAGX,Gagauz,gaga1249,xd554,ch17
HAK,Khakassian,khak1248,,
JAK,Yakut,yaku1245,xd628,Ec2
KAZ,Kazakh,kaza1248,xd609,"Eb1, SCCS65"
KHAL,Halaj,turk1303,,
KLPX,Karakalpak,kara1467,,
KRG,Kirghiz,kirg1245,,
KRMX,Karaim,kara1464,xd560,ch22
NOGX,Nogai,noga1249,,
QUM,Kumyk,kumy1244,xd579,Ci3
SAL,Salar,sala1264,,
SHR,Shor,shor1247,,
SJG,Sary-Yughur,west2402,,
TAT,Tatar,tata1255,,
TOF,Tofalar,kara1462,,
TRK,Turkish,nucl1301,xd581,"Ci5, SCCS47"
TRM,Turkmen,turk1304,xd613,Eb5
TUV,Tuva,tuvi1240,,
UIG,Uighur,uigh1240,,
UZB,Uzbek,nort2690,xd616,Eb8
