Taxon,ISOCode,GlottoCode
Akkadian,akk,akka1240
Amharic,amh,amha1245
Aramaic,,aram1259
Argobba,agj,argo1244
Chaha,sgw,chah1248
Gafat,gft,gafa1240
Geez,gez,geez1241
Geto,sgw,gyet1240
Harari,har,hara1271
Harsusi,hss,hars1241
Hebrew,heb,hebr1245
Innemor,ior,inor1238
Jibbali,shv,sheh1240
Mehri,gdq,mehr1241
Mesmes,mys,mesm1243
Mesqan,mvz,mesq1240
Moroccan.Arabic,ary,moro1292
Ogaden.Arabic,,ogad1238
Soddo,gru,sodd1242
Soqotri,sqt,soqo1240
Tigre,tig,tigr1270
Tigrinya,tir,tigr1271
Ugaritic,uga,ugar1238
Walani,wle,wola1253
Zway,zwa,zayy1238
