taxon,glottocode,xd_ids,soc_ids
Akkadian,akka1240,,
Amharic,amha1245,xd455,"Ca7, SCCS37"
Aramaic,aram1259,,
Argobba,argo1244,,
Chaha,chah1248,xd456,Ca8
Gafat,gafa1240,,
Geez,geez1241,,
Geto,gyet1241,,
Harari,hara1271,,
Harsusi,hars1241,,
Hebrew,hebr1245,xd589,"Cj3, SCCS44"
Innemor,inor1238,,
Jibbali,sheh1240,,
Mehri,mehr1241,,
Mesmes,mesm1243,,
Mesqan,mesq1240,,
Moroccan.Arabic,moro1292,"xd514, xd513","Cd16, Cd15"
Ogaden.Arabic,stan1318,,
Soddo,sodd1242,,
Soqotri,soqo1240,,
Tigre,tigr1270,"xd446, xd444","Ca38, Ca36"
Tigrinya,tigr1271,xd437,Ca3
Ugaritic,ugar1238,,
Walani,wola1253,,
Zway,zayy1238,,
