Taxon,ISOCode,GlottoCode
Middle Japanese,,
Old Japanese,,oldj1239
Aichi,,gifu1238
Akita,,akit1240
Aomori,,
Chiba,,chib1248
Fukushima,,fuku1243
Gifu,,gifu1238
Gunma,,gunm1237
Hokkaido,,hokk1243
Ibaraki,,ibar1242
Iwate,,
Kanagawa,,kana1290
Miyagi,,
Nagano,,naga1408
Niigata,,niig1237
Saitama,,
Shizuoka,,shiz1237
Tochigi,,toch1258
Tokyo,,toky1238
Yamagata,,yama1262
Yamanashi,,yama1263
Hachijyo,,hach1239
Fukuoka,,
Kagoshima,,nort2935
Kumamoto,,kuma1281
Miyazaki,,miya1258
Nagasaki,,naga1405
Oita,,oita1237
Saga,,saga1265
Naze,,naze1238
Okinawa,,okin1244
Hateruma,,hate1238
Hirara,,miya1260
Ikema,,
Irafu,,
Ishigaki,,ishi1240
Taketomi,,take1256
Tarama,,tara1319
Yonaguni,,yona1241
Ehime,,
Fukui,,fuku1241
Hiroshima,,hiro1237
Hyogo,,
Ishikawa,,
Kagawa,,kaga1258
Kochi,,
Kyoto,,kyot1238
Mie,,miee1237
Nara,,
Okayama,,okay1237
Osaka,,osak1237
Shiga,,shig1237
Shimane,,
Tokushima,,toku1245
Tottori,,tott1237
Toyama,,toya1237
Wakayama,,waka1279
Yamaguchi,,yama1261
,,
