Name_on_tree_tip,xd_id,soc_id,fixed_order
AICHI,,,
AKITA,,,
AOMORI,,,
CHIBA,,,
EHIME,,,
FUKUI,,,
FUKUOKA,,,
FUKUSHIMA,,,
GIFU,,,
GUNMA,,,
HACHIJO,,,
HATERUMA,,,
HIRARA,xd642,Ed15a,0
HIROSHIMA,,,
HOKKAIDO,,,
HYOGO,,,
IBARAGI,,,
IKEMA,,,
IRAFU,,,
ISHIGAKI,xd640,Ed13,0
ISHIKAWA,,,
IWATE,,,
KAGAWA,,,
KAGOSHIMA,,,
KANAGAWA,,,
KOCHI,,,
KUMAMOTO,,,
KYOTO,,,
MIDDLE_JAPANESE,,,
MIE,,,
MIYAGI,,,
MIYAZAKI,,,
NAGANO,,,
NAGASAKI,,,
NARA,,,
NAZE,,,
NIGATA,,,
OITA,,,
OKAYAMA,xd648,"Ed5, SCCS117",0
OKINAWA,xd650,Ed7,0
OLD_JAPANESE,,,
OSAKA,,,
SAGA,,,
SAITAMA,,,
SHIGA,,,
SHIMANE,,,
SHIZUOKA,,,
TAKETOMI,,,
TARAMA,,,
TOCHIGI,,,
TOKUSHIMA,,,
TOKYO,,,
TOTTORI,,,
TOYAMA,,,
WAKAYAMA,,,
YAMAGATA,,,
YAMAGUCHI,,,
YAMANASHI,,,
YONAGUNI,,,
