taxon,glottocode,xd_ids,soc_ids
Asahikawa,ainu1240,xd635,"B22, Ec7, SCCS118"
Bihoro,ainu1240,xd635,"B22, Ec7, SCCS118"
Hiratori,ainu1240,xd635,"B22, Ec7, SCCS118"
Horobetsu,ainu1240,xd635,"B22, Ec7, SCCS118"
Kushiro,ainu1240,xd635,"B22, Ec7, SCCS118"
Maoka,sakh1245,,
Nairo,sakh1245,,
Nayoro,ainu1240,xd635,"B22, Ec7, SCCS118"
Niikappu,ainu1240,xd635,"B22, Ec7, SCCS118"
Nukkibetsu,ainu1240,xd635,"B22, Ec7, SCCS118"
Obihiro,ainu1240,xd635,"B22, Ec7, SCCS118"
Ochiho,sakh1245,,
Oshamambe,ainu1240,xd635,"B22, Ec7, SCCS118"
Raichishka,sakh1245,,
Samani,ainu1240,xd635,"B22, Ec7, SCCS118"
Shiraura,sakh1245,,
Soya,ainu1240,xd635,"B22, Ec7, SCCS118"
Tarantomari,sakh1245,,
Yakumo,ainu1240,xd635,"B22, Ec7, SCCS118"
