Taxon,ISOCode,GlottoCode
Ache,guq,ache1246
Anambe,aan,anam1249
Arawete,awt,araw1273
AvaCanoeiro,avv,avac1239
Aweti,awe,awet1244
Chiriguano,gui,chir1295
Emerillon,eme,emer1243
Guaja,gvj,guaj1256
GuaraniParaguaio,
Guarayu,gyr,guar1292
Kaapor,urb,urub1250
Kaiowa,kgk,kaiw1246
Kamaiura,kay,kama1373
Kayabi,kyz,kaya1329
Kokama,cod,coca1259
Mawe,mav,sate1243
Mbya,gun,mbya1239
Nandeva,nhd,chir1286
Omagua,omg,omag1248
Parakana,pak,para1312
Parintintin,pah,tupi1280
Pauserna,psm,paus1244
Siriono,srq,siri1273
Tapiete,tpj,tapi1253
Tapirape,taf,tapi1254
Tembe,tqb,temb1276
Tocantins,asu,toca1235
Tupinamba,tpn,tupi1273
Wayampi,oym,waya1270
Xeta,xet,xeta1241
Xingu,,xing1247
Yuki,yuk,yuki1243
