taxon,glottocode,xd_ids,soc_ids
Ache,ache1246,xd920,B47
Anambe,anam1249,,
Arawete,araw1273,,
AvaCanoeiro,avac1239,,
Aweti,awet1244,xd1406,Si9
Chiriguano,east2555,xd1394,Sh7
Emerillon,emer1243,,
Guaja,guaj1256,,
GuaraniParaguaio,para1311,,
Guarayu,guar1292,,
Kaapor,urub1250,,
Kaiowa,kaiw1246,,
Kamaiura,kama1373,xd1402,Si5
Kayabi,kaya1329,,
Kokama,coca1259,xd1363,Se10
Mawe,sate1243,xd1357,Sd5
Mbya,mbya1239,xd1408,"Sj10, SCCS181"
Nandeva,chir1286,,
Omagua,omag1248,,
Parakana,para1312,,
Parintintin,tupi1280,,
Pauserna,paus1244,,
Siriono,siri1273,xd1362,"Se1, B43, SCCS173"
Tapiete,tapi1253,,
Tapirape,tapi1254,xd1354,Sd2
Tembe,temb1276,xd1414,Sj6
Tocantins,toca1235,,
Tupinamba,tupi1273,xd1416,"Sj8, SCCS177"
Wayampi,waya1270,,
Xeta,xeta1241,xd921,B49
Xingu,xing1248,,
Yuki,yuqu1240,xd918,B44
