taxon,glottocode,xd_ids,soc_ids
BodicTshangla,tsha1245,,
BurmishAchang,acha1249,,
BurmishAtsi,zaiw1241,,
BurmishBola,pela1242,,
BurmishLashi,lash1243,,
BurmishMaru,maru1249,,
BurmishOldBurmese,oldb1235,,
BurmishRangoon,nucl1310,xd709,"Ei3, SCCS71"
BurmishXiandao,xian1249,,
ChepangChepang,chep1245,,
ChinHakha,haka1240,,
DengDarangTaraon,diga1241,,
DengYidu,idum1241,,
GaroGaro,garo1247,xd696,"Ei1, SCCS69"
JingphoJingpho,jing1260,,
Karbi,karb1241,xd704,Ei17
KhroskyabsWobzi,eree1240,,
KirantiBahing,bahi1252,,
KirantiBantawa,bant1281,,
KirantiHayu,wayu1241,,
KirantiKhaling,khal1275,,
KirantiKulung,kulu1253,,
KirantiLimbu,limb1266,,
KirantiThulung,thul1246,,
LoloishLisu,lisu1250,,
MizoLushai,lush1249,xd708,Ei20
NagaUkhrul,ukhr1238,,
NungicDulong,drun1238,,
QiangicZhaba,zhab1238,,
Rabha,rabh1238,,
rGyalrongDaofu,horp1240,,
rGyalrongJaphug,japh1234,,
rGyalrongMaerkang,situ1238,,
SiniticBeijing,beij1235,,
SiniticChaozhou,chao1238,,
SiniticGuangzhou,guan1279,,
SiniticJieyang,chao1239,,
SiniticLonggang,hakk1236,,
SiniticOldChinese,oldc1244,,
SiniticXingning,hakk1236,,
Tangut,tang1334,,
TaniBokar,boka1249,,
TibetanAlike,amdo1237,,
TibetanBatang,kham1282,,
TibetanLhasa,utsa1239,,
TibetanOldTibetan,clas1254,,
TibetanXiahe,amdo1237,,
TibetoKinauriBunan,gahr1239,,
TibetoKinauriByangsi,byan1241,,
TibetoKinauriRongpo,rong1264,,
