Taxon,ISOCode,GlottoCode
hax,hax,sout2956
gwi,gwi,gwic1235
dgr,dgr,dogr1252
scsh,scs,nort2942
xsl,xsl,sout2959
bea,bea,beav1236
crx,crx,carr1249
chp,chp,chip1261
txc,txc,tset1236
haa,haa,hann1241
ing,ing,dege1248
kuu,kuu,uppe1438
hoi,hoi,holi1241
koy,koy,koyu1237
taa,taa,lowe1425
aht,aht,ahte1237
tfn,tfn,tana1289
kkz,kkz,kask1239
tcb,tcb,tana1290
tau,tau,uppe1437
ttmN,ttm,nort2941
tceS,tce,sout2957
eya,eya,eyak1241
tli,tli,tlin1245
gce,gce,gali1261
tol,tol,tolo1259
cco,coq,coqu1236
hup,hup,hupa1239
mtl,mvb,matt1238
wlk,wlk,wail1244
kto,ktw,kato1244
apc,apm,mesc1238
apw,apw,west2615
apj,apj,jica1244
nav,nav,nava1243
apk,apk,kiow1264
apl,apl,lipa1241
srs,srs,sars1236
ket,ket,kett1243
zko,zko,kott1239
