taxon,glottocode,xd_ids,soc_ids
Achagua,acha1250,,
Amuesha,yane1238,,
Anauya,anau1243,,
Apurina,apur1254,,
Arua,arua1264,,
Asheninka,ashe1274,,
Bahuana,xiri1243,,
Baniva,bani1254,,
Baniwa,bani1259,,
Bare,bare1276,,
Baure,baur1253,,
Cabiai,cari1280,,
Cabiyari,cabi1241,,
Caquinte,caqu1242,,
Chamicuro,cham1318,,
EnaweneMawe,enaw1238,,
Garifuna,gari1256,xd1323,Sa7
Guajiro,guaj1257,,
Guarekena,ware1255,,
Guinau,guin1258,,
Ignaciano,igna1246,,
Inapari,inap1243,,
IslandCarib,isla1278,xd1326,"SCCS161, Sb1"
Karutana,,,
Kauixana,kais1242,,
Kinikinau,guan1270,,
Kurripako,korr1239,,
Lokono,araw1276,xd1336,Sc10
Maipure,maip1246,,
Manao,mana1299,,
Mandawaka,,,
Manxineri,mach1268,,
Marawa,mara1409,,
Marawan,mara1408,,
Mariate,uain1239,,
Matchiguenga,mach1267,,
Mawayana,mapi1252,,
Mehinaku,mehi1240,,
Nomatsiguenga,noma1263,,
Palikur,pali1279,xd1355,Sd3
Paraujano,para1316,xd1330,"B35, Sb5"
Paresi,pare1272,xd1404,Si7
Pase,pass1250,,
Piapoco,piap1246,xd1343,Sc17
Piro,yine1238,xd1381,Sf8
Resigaro,resi1247,,
Saraveka,sara1331,,
Taino,tain1254,xd1333,Sb8
Tariana,tari1256,,
Terena,tere1279,xd1389,Sh2
Trinitario,trin1274,,
Wainuma,uain1239,,
Wapixana,wapi1253,xd1348,Sc5
Waraicu,,,
Warekena,ware1255,,
Waura,waur1244,,
Yavitero,yavi1244,,
Yawalapiti,yawa1261,,
Yukuna,yucu1253,,
Yumana,yucu1252,,
