taxon,isocode,glottocode,xd_ids,soc_ids
Achang_Lianghe,acn,acha1249,,
Achang_Longchuan,acn,acha1249,,
Achang_Luxi,acn,acha1249,,
Achang_Xiandao,acn,acha1249,,
Angami_Kohima,njm,anga1288,xd700,Ei13
Anong,nun,nung1282,,
Ao_Chungli,njo,aona1235,,
Ao_Mongsen,njo,aona1235,xd701,Ei14
Apatani,apt,apat1240,,
Atong,aot,aton1241,,
Atsi_Zaiwa,atb,zaiw1241,,
Bengni,njz,nyis1236,,
Bodo,brx,bodo1269,,
Bokar_Lhoba,adi,bori1243,xd653,Ee1
Bola_Luxi,bxd,pela1242,,
Burmese_Spoken_Rangoon,mya,nucl1310,xd709,"Ei3, SCCS71"
Caodeng,jya,jiar1240,,
Chang,nbc,chan1313,,
Chepang,cdm,chep1245,,
Chinese_Mandarin,cmn,mand1415,xd639,Ed10
Chinese_Old,och,oldc1244,,
Cuona_Mama,twm,tawa1289,,
Cuona_Menba,twm,tawa1289,,
Daai,dao,daai1236,,
Daofu,ero,horp1239,,
Darang_Taraon,mhu,diga1241,,
Dimasa,dis,dima1251,,
Ergong_Danba,ero,horp1239,,
Ersu,ers,ersu1241,,
Garo,grt,garo1247,xd696,"Ei1, SCCS69"
Gurung_Ghachok,gvr,guru1261,,
Hani_Caiyuan,hni,hani1248,,
Hani_Dazhai,hni,hani1248,,
Hani_Gelanghe,hni,hani1248,,
Hani_Luchun,hni,hani1248,,
Hani_Mojiang,how,honi1244,,
Hani_Shuikui,hni,hani1248,,
Hayu,vay,wayu1241,,
Idu,clk,idum1241,,
Jingpho,kac,kach1280,xd711,Ei5
Jinuo_Youle,jiu,youl1235,,
Kanauri,kfk,kinn1249,,
Karen,ksw,sgaw1245,,
Kayan_Pekon,pdu,kaya1315,,
Khaling,klr,khal1275,,
Khumi,cnk,khum1248,,
Konyak,nbe,kony1248,,
Lahu_Lancang,lhu,lahu1253,,
Lahu_Yellow,lhi,lahu1252,,
Langsu_Luxi,mhx,maru1249,,
Leqi_Luxi,lsi,lash1243,,
Liangmei,njn,lian1251,,
Limbu,lif,limb1266,,
Lisu_Central,lis,lisu1250,,
Lisu_Northern,lis,lisu1250,,
Lotha_Naga,njh,loth1237,xd707,Ei2
Lyuzu,,lizu1234,,
Magar,mrd/mgp,west2418,xd660,Ee8
Manang_Gyaru,nmm,mana1288,,
Manang_Prakaa,nmm,mana1288,,
Marma,rmz,marm1234,,
Matu,hlt,ngal1291,,
Mpi,mpz,mpii1239,,
Muya_Minyak,mvm,muya1239,,
Namuyi,nmy,namu1246,,
Naxi_Lijiang,nxq,naxi1245,,
Naxi_Yongning,nxq,naxi1245,,
Ngmuun,mwq,munc1235,,
Nusu_Central,nuf,nusu1239,,
Nusu_Northern,nuf,nusu1239,,
Nusu_Southern,nuf,nusu1239,,
Pattani,lae,patt1248,,
Pa_O,blk,paok1235,,
Phom,nph,phom1236,,
Pumi_Qinghua,pmj,sout2729,,
Pumi_Taoba,pmi,nort2723,,
Qiang_Longxi,cng,nort2722,,
Qiang_Mawo,cng,nort2722,,
Queyu_Yajiang,qvy,quey1238,,
rGyalrong_Maerkang,jya,jiar1240,,
Rongmei,nbu,rong1266,,
Sak,ckh,chak1270,,
Sangtam,nsa,sang1321,,
Sema_Sumi,nsm,sumi1235,xd703,Ei16
Sunwar,suz,sunw1242,,
Tamang,tdg,west2415,,
Tangkhul,nmf,tang1336,,
Thado,tcz,thad1238,xd699,Ei12
Thakali,ths,thak1245,,
Thulung,tdh,thul1246,,
Tibetan_Amdo_Blabrang,adx,amdo1237,,
Tibetan_Amdo_Zeku,adx,amdo1237,,
Tibetan_Batang,khg,kham1282,,
Tibetan_Jirel,jul,jire1238,,
Tibetan_Khams,khg,kham1282,,
Tibetan_Lhasa,bod,tibe1272,xd656,Ee4
Tibetan_Xiahe,adx,amdo1237,,
Tiddim,ctd,tedi1235,,
Trung_Dulong,duu,drun1238,,
Trung_Nujiang,duu,drun1238,,
Xumi,sxg,shix1238,,
Yi_Dafang,yig,wusa1235,,
Yi_Mile,yix,axiy1235,,
Yi_Mojiang,nsd,sout2723,,
Yi_Nanjian,ywt,xish1235,,
Yi_Sani,ysn,sani1269,,
Yi_Weishan,ywt,xish1235,,
Yi_Wuding,ywq,wudi1238,,
Zeme,nzm,zeme1240,,
