id,name,author,year,reference
kxaa1236.glotto.trees,Kxa (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
maid1262.glotto.trees,Maiduan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
iroq1247.glotto.trees,Iroquoian (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
atla1278.glotto.trees,Atlantic-Congo (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
tung1282.glotto.trees,Tungusic (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
toro1256.glotto.trees,Tor-Orya (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
mirn1241.glotto.trees,Mirndi (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
pano1259.glotto.trees,Pano-Tacanan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
bora1262.glotto.trees,Boran (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
aust1307.glotto.trees,Austronesian (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
taik1256.glotto.trees,Tai-Kadai (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
left1242.glotto.trees,Left May (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
ayma1253.glotto.trees,Aymaran (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
tura1263.glotto.trees,Turama-Kikori (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
dogo1299.glotto.trees,Dogon (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
wint1258.glotto.trees,Wintuan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
namb1299.glotto.trees,Nambiquaran (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
leng1261.glotto.trees,Lengua-Mascoy (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
saha1256.glotto.trees,Saharan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
nucl1580.glotto.trees,Eleman (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
guai1249.glotto.trees,Guaicuruan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
wali1264.glotto.trees,Walioic (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
chin1490.glotto.trees,Chinookan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
nucl1709.glotto.trees,Nuclear Trans New Guinea (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
narr1279.glotto.trees,Narrow Talodi (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
mixe1284.glotto.trees,Mixe-Zoque (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
ainu1252.glotto.trees,Ainu (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
chap1271.glotto.trees,Chapacuran (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
piaw1238.glotto.trees,Piawi (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
nucl1710.glotto.trees,Nuclear-Macro-Je (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
kawe1237.glotto.trees,Kawesqar (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
chim1311.glotto.trees,Chimakuan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
zapa1251.glotto.trees,Zaparoan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
kart1248.glotto.trees,Kartvelian (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
nort2933.glotto.trees,North Bougainville (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
tuuu1241.glotto.trees,Tuu (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
pama1250.glotto.trees,Pama-Nyungan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
awin1249.glotto.trees,Awin-Pa (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
mair1253.glotto.trees,Mairasic (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
araw1281.glotto.trees,Arawakan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
shas1238.glotto.trees,Shastan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
lake1255.glotto.trees,Lakes Plain (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
mail1249.glotto.trees,Mailuan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
indo1319.glotto.trees,Indo-European (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
char1238.glotto.trees,Charruan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
sout2772.glotto.trees,Southern Daly (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
giim1238.glotto.trees,Giimbiyu (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
skoo1245.glotto.trees,Sko (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
chum1262.glotto.trees,Chumashan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
sali1255.glotto.trees,Salishan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
chib1249.glotto.trees,Chibchan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
east2499.glotto.trees,East Kutubu (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
nyul1248.glotto.trees,Nyulnyulan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
hara1260.glotto.trees,Harakmbut (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
chuk1271.glotto.trees,Chukotko-Kamchatkan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
turk1311.glotto.trees,Turkic (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
nada1235.glotto.trees,Nadahup (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
mand1469.glotto.trees,Mande (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
geel1240.glotto.trees,Geelvink Bay (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
west1493.glotto.trees,West Bird's Head (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
pomo1273.glotto.trees,Pomoan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
